Company Name,Date,Rating Type,Agency,Curr Rtg,Last Rtg,Ctry,Industry Type,Security Name
Argentina Government Bond,3/28/2001,Foreign Currency LT Debt,Moody's,B2 *-,B1 ,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,8/15/1990,Foreign Currency LT Debt,Moody's,WR ,B3 ,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,9/10/1991,Foreign Currency LT Debt,Moody's,B3 ,WR ,AR,Sovereigns,EC009480 Corp
Argentina Bocon,10/12/2001,Foreign Currency LT Debt,Moody's,Caa3 ,Caa1 ,AR,Sovereigns,EC114521 Corp
Argentina Bocon,12/20/2001,Foreign Currency LT Debt,Moody's,Ca ,Caa3 ,AR,Sovereigns,EC114521 Corp
Argentina Bocon,8/20/1999,Foreign Currency LT Debt,Moody's,Ba3 *-,Ba3 ,AR,Sovereigns,EC114521 Corp
Argentina Bocon,6/4/2001,Foreign Currency LT Debt,Moody's,B2 ,B2 *-,AR,Sovereigns,EC114521 Corp
Argentina Bocon,7/13/2001,Foreign Currency LT Debt,Moody's,B3 *-,B2 ,AR,Sovereigns,EC114521 Corp
Argentina Bocon,7/26/2001,Foreign Currency LT Debt,Moody's,Caa1 ,B3 *-,AR,Sovereigns,EC114521 Corp
Argentina Bocon,3/28/2001,Foreign Currency LT Debt,Moody's,B2 *-,B1 ,AR,Sovereigns,EC114521 Corp
Republic of Austria,1/13/2012,Foreign Currency LT Debt,S&P,AA+ ,AAA *-,AT,Sovereigns,EC049664 Corp
Republic of Austria,12/5/2011,Foreign Currency LT Debt,S&P,AAA *-,AAA ,AT,Sovereigns,EC049664 Corp
Commonwealth of Australia,10/21/2002,Foreign Currency LT Debt,Moody's,Aaa ,Aa2 ,AU,Sovereigns,1525Z AU Equity
Commonwealth of Australia,2/17/2003,Foreign Currency LT Debt,S&P,AAA ,AA+ ,AU,Sovereigns,1525Z AU Equity
Commonwealth of Australia,5/17/1999,Foreign Currency LT Debt,S&P,AA+ ,AA ,AU,Sovereigns,1525Z AU Equity
Commonwealth of Australia,2/25/2011,Foreign Currency LT Debt,S&P,AAAu ,AAA ,AU,Sovereigns,1525Z AU Equity
Commonwealth of Australia,10/21/2002,Foreign Currency LT Debt,Moody's,Aaa ,Aa2 ,AU,Sovereigns,1525Z AU Equity
Aruba,6/14/2013,Foreign Currency LT Debt,S&P,BBB+ ,A- ,AW,Sovereigns,185378Z NT Equity
Aruba,5/29/2008,Foreign Currency LT Debt,S&P,A- ,A- ,AW,Sovereigns,185378Z NT Equity
Azerbaijan Treasury Bonds,12/16/2008,Foreign Currency LT Debt,S&P,BB+ ,BB+ ,AZ,Sovereigns,EI221807 Corp
Azerbaijan Treasury Bonds,12/23/2011,Foreign Currency LT Debt,S&P,BBB- ,BB+ ,AZ,Sovereigns,EI221807 Corp
Republic of Azerbaijan,12/23/2011,Foreign Currency LT Debt,S&P,BBB- ,BB+ ,AZ,Sovereigns,1088Z AZ Equity
Azerbaijan Treasury Bill,12/23/2011,Foreign Currency LT Debt,S&P,BBB- ,BB+ ,AZ,Sovereigns,EK259840 Corp
Azerbaijan Treasury Bill,12/16/2008,Foreign Currency LT Debt,S&P,BB+ ,BB+ ,AZ,Sovereigns,EK259840 Corp
Republic of Azerbaijan,12/16/2008,Foreign Currency LT Debt,S&P,BB+ ,BB+ ,AZ,Sovereigns,1088Z AZ Equity
Bosnia & Herzegovina Government International Bond,12/22/2008,Foreign Currency LT Debt,S&P,B+ ,B+ ,BA,Sovereigns,TT337679 Corp
Bosnia & Herzegovina Government International Bond,11/30/2011,Foreign Currency LT Debt,S&P,B *-,B+ ,BA,Sovereigns,TT337679 Corp
Republic of Bosnia and Herzegovina,12/22/2008,Foreign Currency LT Debt,S&P,B+ ,B+ ,BA,Sovereigns,1004Z BP Equity
Republic of Bosnia and Herzegovina,11/30/2011,Foreign Currency LT Debt,S&P,B *-,B+ ,BA,Sovereigns,1004Z BP Equity
Republic of Bosnia and Herzegovina,3/28/2012,Foreign Currency LT Debt,S&P,B ,B *-,BA,Sovereigns,1004Z BP Equity
Bosnia & Herzegovina Government International Bond,3/28/2012,Foreign Currency LT Debt,S&P,B ,B *-,BA,Sovereigns,TT337679 Corp
Barbados,12/19/2014,Foreign Currency LT Debt,S&P,B ,BB- ,BB,Sovereigns,BF693676 Govt
