agency,country,iso2c,year,ratings
Moody's,Philippines,PH,2009,Ba3
Moody's,Philippines,PH,2010,Ba3
Moody's,Philippines,PH,2011,Ba2
Moody's,Philippines,PH,2012,Ba1
Moody's,Pakistan,PK,2006,B1
Moody's,Pakistan,PK,2007,B1
Moody's,Poland,PL,2006,A2
Moody's,Poland,PL,2007,A2
Moody's,Poland,PL,2008,A2
Moody's,Poland,PL,2009,A2
Moody's,Poland,PL,2010,A2
Moody's,Poland,PL,2011,A2
Moody's,Poland,PL,2012,A2
Moody's,Portugal,PT,2006,Aa2
Moody's,Portugal,PT,2007,Aa2
Moody's,Portugal,PT,2008,Aa2
Moody's,Portugal,PT,2009,Aa2
Moody's,Portugal,PT,2010,A1
Moody's,Portugal,PT,2011,Ba2
Moody's,Portugal,PT,2012,Ba3
Moody's,Qatar,QA,2006,Aa3
Moody's,Qatar,QA,2007,Aa2
Moody's,Qatar,QA,2008,Aa2
Moody's,Qatar,QA,2009,Aa2
Moody's,Qatar,QA,2010,Aa2
Moody's,Qatar,QA,2011,Aa2
Moody's,Qatar,QA,2012,Aa2
Moody's,Romania,RO,2006,Baa3
Moody's,Romania,RO,2007,Baa3
Moody's,Romania,RO,2008,Baa3
Moody's,Romania,RO,2009,Baa3
Moody's,Romania,RO,2010,Baa3
Moody's,Romania,RO,2011,Baa3
Moody's,Romania,RO,2012,Baa3
Moody's,Serbia,RS,2006,NA
Moody's,Serbia,RS,2007,NA
Moody's,Serbia,RS,2008,NA
Moody's,Serbia,RS,2009,NA
Moody's,Serbia,RS,2010,NA
Moody's,Russian Federation,RU,2006,Baa2
Moody's,Russian Federation,RU,2007,Baa2
Moody's,Russian Federation,RU,2008,Baa1
Moody's,Russian Federation,RU,2009,Baa1
Moody's,Russian Federation,RU,2010,Baa1
Moody's,Russian Federation,RU,2011,Baa1
Moody's,Russian Federation,RU,2012,Baa1
Moody's,Saudi Arabia,SA,2009,A1
Moody's,Saudi Arabia,SA,2010,Aa3
Moody's,Sweden,SE,2006,Aaa
Moody's,Sweden,SE,2007,Aaa
Moody's,Sweden,SE,2008,Aaa
Moody's,Sweden,SE,2009,Aaa
Moody's,Sweden,SE,2010,Aaa
Moody's,Sweden,SE,2011,Aaa
Moody's,Sweden,SE,2012,Aaa
Moody's,Slovenia,SI,2006,Aa2
Moody's,Slovenia,SI,2007,Aa2
Moody's,Slovenia,SI,2008,Aa2
Moody's,Slovenia,SI,2009,Aa2
Moody's,Slovenia,SI,2010,Aa2
Moody's,Slovenia,SI,2011,A1
Moody's,Slovenia,SI,2012,Baa2
Moody's,Slovak Republic,SK,2006,A1
Moody's,Slovak Republic,SK,2007,A1
Moody's,Slovak Republic,SK,2008,A1
Moody's,Slovak Republic,SK,2009,A1
Moody's,Slovak Republic,SK,2010,A1
Moody's,Slovak Republic,SK,2011,A1
Moody's,Slovak Republic,SK,2012,A2
Moody's,Thailand,TH,2006,Baa1
Moody's,Thailand,TH,2007,Baa1
Moody's,Thailand,TH,2008,Baa1
Moody's,Thailand,TH,2009,Baa1
Moody's,Thailand,TH,2010,Baa1
Moody's,Thailand,TH,2011,Baa1
Moody's,Thailand,TH,2012,Baa1
Moody's,Turkey,TR,2006,Ba3
Moody's,Turkey,TR,2007,Ba3
Moody's,Turkey,TR,2008,Ba3
Moody's,Turkey,TR,2009,Ba3
Moody's,Turkey,TR,2010,Ba2
Moody's,Turkey,TR,2011,Ba2
Moody's,Turkey,TR,2012,Ba1
Moody's,Ukraine,UA,2006,B1
Moody's,Ukraine,UA,2007,B1
Moody's,Ukraine,UA,2008,B1
Moody's,Ukraine,UA,2009,B2
Moody's,Ukraine,UA,2010,B2
