"agency","iso2c","year","country","ratings.x","ratings_prior","lag_cds","lag_GNIpercap","ma_GDPgrowth","ma_inflation_cpi","ma_inflation_def","lag_currentaccount","lag_current_account_WEO","ma_budget","ma_fiscal_balance_WEO","external_debt","ext_debt_2","lag_export","dflt","port","dvlp_port","dvlp_wb","ratings.y","ratings"
"Moody's","BR",2010,"Brazil","Baa3 ","Ba1 *+",165.017035100305,8140,3.72298030515137,4.728844965775,7.1282087713772,-1.50017229195926,-1.498,-2.18313567547949,-2.55033333333333,153.333394253966,281648395000,177880364109.233,1,2.9384436332,0,0,"Baa3","Baa3"
"Moody's","BR",2011,"Brazil","Baa2 ","Baa3 ",175.820367289637,9520,4.61753035104798,5.19594130327783,7.91621041262484,-2.20586115213324,-2.206,-2.11577569149842,-2.55166666666667,138.206056584071,352363500000,232985447930.878,1,2.7,0,0,"Baa2","Baa2"
"Moody's","BR",2012,"Brazil","Baa2 ","Baa3 ",157.059106808134,10700,3.77679391767081,5.52030801581263,7.46085542598446,-2.11895821169684,-2.12,-2.57362015303776,-2.896,133.974785309702,404046105000,294458393113.343,1,2.6,0,0,"Baa2","Baa2"
"Moody's","CH",2009,"Switzerland",NA,NA,NA,63020,3.36716982414371,1.40601701467031,2.04405048081258,1.04680627262213,1.478,0.652433223329158,1.359,393.670801656823,NA,347371457127.293,0,5.398559695,1,1,"Aaa","Aaa"
"Moody's","CH",2010,"Switzerland",NA,NA,72.5692115384615,70230,2.07518886897404,0.892897847850037,1.53062247846631,6.70344014616251,6.816,0.61694434941655,1.21466666666667,402.557102010322,NA,309893924059.502,0,5.2375012257,1,1,"Aaa","Aaa"
"Moody's","CH",2011,"Switzerland",NA,NA,61.4056425339366,77360,1.81044667756904,0.881522412390007,0.872928024505163,13.0579281322969,14.341,0.473209351299607,0.831,348.132796988,NA,373420720841.998,0,5.2,1,1,"Aaa","Aaa"
"Moody's","CL",2006,"Chile","A2 ","Baa1 *+",NA,6250,4.43104909633331,NA,6.96359808712072,1.16458072692188,1.537,1.97960908187634,2.05633333333333,94.6981728951585,NA,47749260635.4835,1,NA,0,0,"A2","A2"
"Moody's","CL",2007,"Chile","A2 ","Baa1 *+",23.2259806949807,7260,4.99056511044567,NA,9.27988676772321,4.62546883462343,4.599,4.55474157118808,4.67833333333333,72.7669323842393,NA,65632834304.5476,1,4.84871856621949,1,0,"A2","A2"
"Moody's","CL",2008,"Chile","A2 ","Baa1 *+",21.8556525096525,8630,5.29158439004676,NA,8.40191808183609,4.31093878282284,4.09,6.66188193059071,6.63833333333333,66.9570422259643,NA,75823390732.6226,1,4.93582614821144,1,0,"A2","A2"
"Moody's","CL",2009,"Chile","A1 ","A2 *+",51.22756937336,10030,4.60442642735028,NA,6.04215164166047,-1.83878769023376,-3.23,6.71967934339641,6.50233333333333,83.1011375027472,NA,74653012421.0985,1,5.3590170376,1,0,"A1","A1"
"Moody's","CL",2010,"Chile","Aa3 ","A1 ",92.3972067151354,9940,2.95545556065077,NA,3.05300863435806,2.0413774106557,2.044,2.87780578634889,2.65666666666667,102.495968497057,NA,64054170600.9981,1,5.4608153522,1,0,"Aa3","Aa3"
"Moody's","CL",2011,"Chile","Aa3 ","A1 ",114.071052630016,10730,3.29495527996766,1.40996475088124,4.38154233348846,1.64653002037549,1.648,-0.0469759295097802,-0.107666666666667,95.0212567291652,NA,82774139114.1365,1,5.2,1,1,"Aa3","Aa3"
"Moody's","CL",2012,"Chile","Aa3 ","A1 ",109.295808006681,12290,3.46448264658014,2.37514137950811,5.33410947376451,-1.2222936531978,-1.224,-1.12037656831992,-1.01633333333333,98.3718342630469,NA,95503202620.51,1,5.2,1,1,"Aa3","Aa3"
"Moody's","CN",2006,"China",NA,NA,NA,1740,10.1256304749293,2.28724669768596,4.47853427039628,5.86547246381557,5.788,NA,-1.77433333333333,NA,281113656000,836877618136.998,0,NA,0,0,"A2","A2"
"Moody's","CN",2007,"China",NA,NA,20.9377653846154,2040,11.02424702493,2.38967314174246,4.88496331182071,8.54578684943823,8.3,NA,-1.349,NA,320800407000,1061701636817.42,0,3.97994232594212,1,0,"A1","A1"
"Moody's","CN",2008,"China",NA,NA,19.91339825651,2470,12.0585010749118,2.67837780721036,5.12165358061449,10.1081094821117,10.078,NA,-0.823666666666667,NA,371721326000,1342196220821.56,0,4.32238683967865,1,0,"A1","A1"
"Moody's","CN",2009,"China",NA,NA,44.5773689526159,3050,11.9459081500102,4.0259564624809,6.40278112395319,9.30086389400294,9.248,NA,-0.364333333333333,NA,378468990000,1582468852413.93,0,4.278193043,1,0,"A1","A1"
"Moody's","CN",2010,"China",NA,NA,77.6958417937594,3610,11.4219490748967,3.30391040257185,4.93163773853871,4.87466165833564,4.764,NA,-0.579666666666667,NA,445941912000,1333195516629.1,0,4.321479666,1,0,"Aa3","Aa3"
"Moody's","CN",2011,"China",NA,NA,96.8201111111111,4240,10.864562784967,2.8253268383035,4.59873937991616,4.00994703585957,3.997,NA,-1.01066666666667,NA,559772055000,1743608308051.34,0,4.5,1,0,"Aa3","Aa3"
"Moody's","CN",2012,"China",NA,NA,99.8104118623103,4900,9.64893533993822,2.6741421452248,4.61237439736774,1.85876820968857,1.861,NA,-0.815666666666667,NA,710233988000,2089797247806.24,0,4.4,1,0,"Aa3","Aa3"
"Moody's","CO",2006,"Colombia",NA,NA,NA,2930,4.115457592598,6.02799353139642,6.55652982190419,-1.29154352265763,-1.295,-5.04967005952806,-1.32233333333333,154.83086440983,37162426000,24688519737.621,0,NA,0,0,"Ba2","Ba2"
"Moody's","CO",2007,"Colombia",NA,NA,142.83107751938,3430,5.16384129064967,5.08304258703119,6.20522189542077,-1.78852199049253,-1.792,NA,-0.756666666666667,134.464246646735,37607368000,28709190259.0802,0,2.72329039184112,0,0,"Ba2","Ba2"
"Moody's","CO",2008,"Colombia",NA,NA,128.248381671568,4060,5.90943022860065,4.96273450784229,5.45746320381971,-2.89556441955367,-2.898,NA,-0.617666666666667,126.91590627601,43390772000,34322239984.4564,0,2.87484043393665,0,0,"Ba2","Ba2"
"Moody's","CO",2009,"Colombia",NA,NA,158.934846755404,4640,5.46287593318244,5.61235937890614,6.12351596733382,-2.64728019636324,-2.649,-5.68238090179488,-0.697333333333333,105.423295721481,46245221000,43416433316.9997,0,3.2102506749,0,0,"Ba2","Ba2"
"Moody's","CO",2010,"Colombia",NA,NA,194.54827988997,5050,4.69912426104728,5.58122593643945,5.33445459066568,-1.98860717793045,-1.99,-6.36054774421336,-1.298,132.314161509177,53045121000,37483506937.245,0,3.4642125198,0,0,"Ba2","Ba2"
"Moody's","CO",2011,"Colombia",NA,NA,202.275438255231,5480,4.01769562280533,4.4927146774837,4.93995511168077,-3.01923116158784,-3.018,-5.7579944713608,-2.115,129.06383840811,63814656000,45739171216.0565,0,3.4,0,0,"Baa3","Baa3"
"Moody's","CO",2012,"Colombia",NA,NA,173.382113896257,6100,3.93991658784507,3.29758979585374,4.66312584818068,-2.89586008142866,-2.888,-4.22028473026677,-2.69233333333333,113.21465505857,76901576000,62843740962.1947,0,3.2,0,0,"Baa3","Baa3"
"Moody's","CY",2008,"Cyprus","Aa3 ","A1 ",NA,24240,4.34762821797403,2.47560655348511,3.33341562103367,-8.38251378800302,-11.782,6.2322687502052,-0.0656666666666668,NA,NA,10471801925.7221,0,5.19918825555317,1,1,"Aa3","Aa3"
"Moody's","CY",2009,"Cyprus","Aa3 ","A1 ",90.9423076923077,28870,4.19810879616698,3.17917958529962,4.22322600059526,-15.3134745197761,-15.615,3.95229844024071,1.07766666666667,796.509427390464,NA,11505785850.3003,0,5.2534492547,1,1,"Aa3","Aa3"
"Moody's","CY",2010,"Cyprus","Aa3 ","A1 ",109.543911764706,28820,2.8040781220691,2.47191460012286,3.12635296766013,-10.534373213864,-10.728,0.626525408879937,-0.556666666666667,1371.24853458382,NA,9480411225.34037,0,5.1076419425,1,1,"Aa3","Aa3"
"Moody's","CY",2011,"Cyprus","(P)Baa1 ","(P)A2 *-",129.541107843137,28280,2.09774990941699,2.47483647321058,2.16182579579335,-9.98251648634412,-9.83,-3.19266676064643,-3.48866666666667,1390.16557236654,NA,9279470198.6755,0,5.1,1,1,"Baa1","Baa1"
"Moody's","CY",2012,"Cyprus","(P)Ba1 ","(P)Baa3 *-",300.547375649405,29070,0.915114186250809,2.01492924470441,1.12844593763156,-3.25007845134758,-3.366,-5.83628614971079,-5.912,NA,NA,NA,0,5,1,1,"Ba1","Ba1"
"Moody's","CZ",2006,"Czech Republic","A1 ","Baa1 ",NA,12380,4.15962768549547,1.59371687786099,1.73427495265608,-0.889483248410007,-0.93,-3.60874238750371,-4.254,53.2213733111459,NA,84741941430.8025,0,NA,0,1,"A1","A1"
"Moody's","CZ",2007,"Czech Republic","A1 ","Baa1 ",8.72794117647059,13920,5.46702634279239,2.40051561303529,1.61157416744079,-2.01682428955855,-2.109,-3.4124631535218,-2.81233333333333,51.2521679384674,NA,101341176557.366,0,4.28089887640449,1,1,"A1","A1"
"Moody's","CZ",2008,"Czech Republic","A1 ","Baa1 ",8.92802828054299,15740,5.94888229160013,2.43390639010501,1.45237278833072,-4.20520462957127,-4.394,-2.91206492067775,-2.112,52.2164336404881,NA,125663934560.864,0,4.14928381855929,1,1,"A1","A1"
"Moody's","CZ",2009,"Czech Republic","A1 ","Baa1 ",31.5061547146748,18300,5.38975711961507,3.93551158560163,2.09285082566833,-2.02959686302086,-2.121,-2.23239849064157,-1.76633333333333,60.5266964911414,NA,149036590842.526,0,4.1614030629,1,1,"A1","A1"
"Moody's","CZ",2010,"Czech Republic","A1 ","Baa1 ",76.2112234593043,18650,2.56874522084066,3.44108054856557,2.73254598874941,-2.35694324999917,-2.459,-2.83249557415759,-2.90666666666667,70.3536828755214,NA,120995278812.359,0,4.5877793195,1,1,"A1","A1"
"Moody's","CZ",2011,"Czech Republic","A1 ","Baa1 ",103.691479420593,19210,1.42338157501855,2.93483869970968,1.07132937124113,-3.6721028568702,-3.83,-3.86802549882894,-4.25266666666667,66.2430144423019,NA,136996635817.418,0,4.7,1,1,"A1","A1"
"Moody's","CZ",2012,"Czech Republic","A1 ","Baa1 ",114.991464537735,19380,0.532009942012827,1.46330631968822,0.323308966353123,-2.68961821748068,-2.938,-4.81871553041013,-4.603,61.9061772129877,NA,162791340751.868,0,4.6,1,1,"A1","A1"
