"year","iso2c","agency","ratings","ratings_prior","GDPpercap","GDPgrowth","inflation_cpi","inflation_def","development","export","currentaccount","budget","ext_debt","currency_debt","country","current_account_WEO","fiscal_balance_WEO","def_indicator","spreadCDS","GNIpercap"
1990,"BD","S&P",NA,NA,30128776344.9379,5.94130714246796,6.12671846981463,6.33559719119468,NA,1844504546.76413,NA,NA,NA,12285289000,"Bangladesh",-2.701,-0.183,0,NA,290
1990,"BE","Moody's",NA,NA,206113804563.013,3.13740244848798,3.45282301450578,2.81240316741274,NA,125850081844.52,NA,NA,NA,NA,"Belgium",1.84,-6.983,0,NA,19370
1990,"BE","S&P",NA,NA,206113804563.013,3.13740244848798,3.45282301450578,2.81240316741274,NA,125850081844.52,NA,NA,NA,NA,"Belgium",1.84,-6.983,0,NA,19370
1990,"BF","Moody's",NA,NA,3101300779.23055,-0.602928480016431,-0.504303388918913,1.81001542447771,NA,340110086.24263,NA,NA,NA,832031000,"Burkina Faso",-4.219,2.822,0,NA,330
1990,"BF","S&P",NA,NA,3101300779.23055,-0.602928480016431,-0.504303388918913,1.81001542447771,NA,340110086.24263,NA,NA,NA,832031000,"Burkina Faso",-4.219,2.822,0,NA,330
1990,"BG","Moody's",NA,NA,20726301369.863,-9.11737716831637,23.8000000000003,26.188000760037,NA,6864383561.64384,NA,-5.04950364172318,NA,10889630000,"Bulgaria",-8.097,NA,1,NA,2260
1990,"BG","S&P",NA,NA,20726301369.863,-9.11737716831637,23.8000000000003,26.188000760037,NA,6864383561.64384,NA,-5.04950364172318,NA,10889630000,"Bulgaria",-8.097,NA,1,NA,2260
1990,"BH","Moody's",NA,NA,4229787378.87456,4.4379973302171,0.929335437489101,4.8266931032241,NA,4887765954.59587,NA,NA,NA,NA,"Bahrain",1.407,-11.614,0,NA,7220
1990,"BH","S&P",NA,NA,4229787378.87456,4.4379973302171,0.929335437489101,4.8266931032241,NA,4887765954.59587,NA,NA,NA,NA,"Bahrain",1.407,-11.614,0,NA,7220
1990,"BI","Moody's",NA,NA,1132101252.51817,3.49982213886176,7.00216956651218,5.98556154238629,NA,89130244.3724271,NA,NA,NA,906937000,"Burundi",-11.853,NA,0,NA,210
1990,"BI","S&P",NA,NA,1132101252.51817,3.49982213886176,7.00216956651218,5.98556154238629,NA,89130244.3724271,NA,NA,NA,906937000,"Burundi",-11.853,NA,0,NA,210
