"iso2c","country","year","agency","rating","CDS","GNI_cap","GDP_grw","inf","ext_bal","fsc_bal","ext_dbt","def","dev"
"LV","Latvia",2007,"Moodys",11,8.5,8340,9.67697012032851,6.48815582748121,-22.681662785753,-0.769429987956485,225.464438926985,0,0
"LV","Latvia",2008,"Moodys",10,13.0467857142857,10410,10.372388126637,7.79474124290209,-22.3339007710743,-0.185729515146374,272.01853381239,0,1
"LV","Latvia",2009,"Moodys",9,226.551021699819,12430,7.14205061076816,10.681416190386,-13.3415038776316,-0.768249383877474,297.716921866867,0,1
"LV","Latvia",2010,"Moodys",9,465.610422621478,13030,0.00307410036048505,9.67934806911399,8.82562724555418,-2.76087814183401,359.336097001302,0,1
"LV","Latvia",2011,"Moodys",9,582.544893643996,12680,-3.14110968488215,5.94555820453739,3.0137843825365,-5.31268684646705,300.044339048055,0,1
"LV","Latvia",2012,"Moodys",9,453.399723958829,13330,-4.3105125240668,2.27821061889479,-2.20573222091459,-5.38059149780158,241.460369164058,0,1
"MX","Mexico",2007,"Moodys",9,61.1114247104247,8240,3.43808615493393,4.10193561099935,-0.80635729192197,-1.15133333333333,64.9421129880711,1,0
"MX","Mexico",2008,"Moodys",9,54.6280399414192,8830,3.86947479977147,3.86145786348408,-1.40484619927798,-1.11966666666667,63.3974402892064,1,0
"MX","Mexico",2009,"Moodys",9,92.4750330875612,9360,3.14561877409905,4.24043151567033,-1.83738940306759,-1.03233333333333,66.8576978516697,1,0
"MX","Mexico",2010,"Moodys",9,152.847886389215,8530,1.21239037543749,4.7963961492664,-0.925579372656809,-2.40033333333333,73.286984124723,1,0
"MX","Mexico",2011,"Moodys",9,178.223323170824,8730,1.23959369142265,4.8596888852861,-0.386735932189967,-3.43866666666667,69.3165306762383,1,0
"MX","Mexico",2012,"Moodys",9,166.317848762157,9000,1.46369093008746,4.28715486014519,-1.09019168143918,-4.22866666666667,74.050236417022,1,0
"MY","Malaysia",2007,"Moodys",10,27.5786461538462,5810,5.87223080632478,2.69621430975702,16.1037554758302,-3.61478994215526,0.383803264759103,0,0
"MY","Malaysia",2008,"Moodys",10,26.605654472272,6600,5.99980246793567,2.86581796919274,15.3808870359196,-3.29829418384743,0.409822845226048,0,0
